scenario,p,severity,log_return,S_T,pnl_$
Mild tariffs / tighter language,0.3,1,-0.085559669687809,367.5573787071076,1167.2621292892397
Mild tariffs / tighter language,0.3,1,-0.2556798761215797,310.0579552943169,2923.0000000000005
Mild tariffs / tighter language,0.3,1,0.1659010007855748,472.6428879017017,-577.0
No new measures,0.45,0,-0.0912002338857533,365.4899838341776,1374.0016165822378
No new measures,0.45,0,0.0475633419374476,419.8940638891773,-577.0
Aggressive + retaliation,0.05,3,-0.1349006500611344,349.86188370952,2923.0
Mild tariffs / tighter language,0.3,1,-0.3359909460063822,286.1305464182165,2923.0
Mild tariffs / tighter language,0.3,1,-0.0103090719501098,396.2835683727018,-577.0
Mild tariffs / tighter language,0.3,1,0.1396808741330583,460.41119060687146,-577.0
Mild tariffs / tighter language,0.3,1,-0.014000174362012,394.82354134996245,-577.0
No new measures,0.45,0,0.1856199520357912,482.0554074816564,-577.0
No new measures,0.45,0,0.1636366419913055,471.5738656037218,-577.0
No new measures,0.45,0,0.0694347610419445,429.1789091903003,-577.0
No new measures,0.45,0,-0.0078419129898958,397.2624699856033,-577.0
No new measures,0.45,0,0.2664012819860681,522.6125621950913,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.0772110548551781,370.6388186706697,859.1181329330293
No new measures,0.45,0,0.1178580786906162,450.4725700396098,-577.0
Aggressive tariffs / restrictions,0.2,2,0.0505362388595115,421.1442230356916,-577.0
Aggressive tariffs / restrictions,0.2,2,0.0252844249381547,410.6427165468788,-577.0
No new measures,0.45,0,0.1085881539159571,446.3160184275305,-577.0
Mild tariffs / tighter language,0.3,1,0.2197428085183997,498.7883797923486,-577.0
Mild tariffs / tighter language,0.3,1,0.0869746509138741,436.7730656339437,-577.0
Aggressive tariffs / restrictions,0.2,2,0.4413987145067298,622.5586390604986,-577.0
Mild tariffs / tighter language,0.3,1,-0.0813972389224402,369.0904993890748,1013.9500610925193
No new measures,0.45,0,-0.098521057013859,362.82406656834246,1640.593343165754
No new measures,0.45,0,0.0721436591699789,430.3430872419629,-577.0
Aggressive tariffs / restrictions,0.2,2,0.1592122341960019,469.4920393369096,-577.0
No new measures,0.45,0,-0.0883513647900711,366.53270153178687,1269.729846821313
Aggressive tariffs / restrictions,0.2,2,-0.020061706415328,392.4375445024053,-577.0
No new measures,0.45,0,0.2683988398908519,523.6575544186011,-577.0
Mild tariffs / tighter language,0.3,1,0.0644217503126141,427.0328144061442,-577.0
Mild tariffs / tighter language,0.3,1,0.2614575415487207,520.0352773012661,-577.0
No new measures,0.45,0,-0.0457011836820984,382.5035464573515,-327.354645735149
No new measures,0.45,0,-0.0205306703220929,392.2535486054638,-577.0
No new measures,0.45,0,-0.0250972214099273,390.4663864257684,-577.0
Aggressive tariffs / restrictions,0.2,2,0.3543124474931397,570.6360159269678,-577.0
Mild tariffs / tighter language,0.3,1,0.0680677983225904,428.5926384179403,-577.0
No new measures,0.45,0,0.0048988458023734,402.356275863955,-577.0
Mild tariffs / tighter language,0.3,1,0.1044428736717914,444.4697427624737,-577.0
No new measures,0.45,0,0.1167306120438668,449.96496345013605,-577.0
Mild tariffs / tighter language,0.3,1,0.0965057220788275,440.9558825037286,-577.0
Aggressive tariffs / restrictions,0.2,2,0.3685730449351582,578.8319268330023,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.1058779096992331,360.1646179406098,1906.5382059390213
Aggressive tariffs / restrictions,0.2,2,0.0527317202889145,422.0698530864548,-577.0
No new measures,0.45,0,0.0450066969284536,418.8219149625325,-577.0
No new measures,0.45,0,0.049230514958645,420.5946838092897,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.0608771582418752,376.7425076250797,248.74923749202753
No new measures,0.45,0,0.1219647559371913,452.3263192628176,-577.0
No new measures,0.45,0,-0.118392760750662,355.6852988616166,2354.4701138383384
No new measures,0.45,0,0.1250851391979557,453.7399551336796,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.2659014965755454,306.90480317247454,2923.0
Mild tariffs / tighter language,0.3,1,-0.0565717659146349,378.3680286687266,86.19713312734052
Aggressive + retaliation,0.05,3,0.1743113362831005,476.6347360206065,-577.0
No new measures,0.45,0,0.0591523334174564,424.7885187369492,-577.0
No new measures,0.45,0,-0.0308479269864665,388.2273733229251,-577.0
No new measures,0.45,0,0.0588423781028509,424.6568736810796,-577.0
Aggressive tariffs / restrictions,0.2,2,0.0362012802601347,415.1502026936024,-577.0
No new measures,0.45,0,0.0568583041515157,423.8151583286273,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.5204061073084348,237.9434407164673,2923.0
Mild tariffs / tighter language,0.3,1,-0.1777349342502066,335.1922254048808,2922.9999999999995
Aggressive tariffs / restrictions,0.2,2,0.0185458320500083,407.8848649131382,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.0042470453467247,398.6931459895107,-577.0
Mild tariffs / tighter language,0.3,1,0.0863915955324293,436.51847697441207,-577.0
Mild tariffs / tighter language,0.3,1,0.2240345959454057,500.9336737694121,-577.0
No new measures,0.45,0,-0.2373117283586626,315.8057724060325,2923.0
Aggressive tariffs / restrictions,0.2,2,-0.0062255854582416,397.9050954598516,-577.0
Aggressive tariffs / restrictions,0.2,2,-0.0319445950097695,387.80185014830766,-577.0
Mild tariffs / tighter language,0.3,1,0.1135595630580422,448.54036244268303,-577.0
No new measures,0.45,0,0.1924332925787397,485.3510294818964,-577.0
Aggressive + retaliation,0.05,3,-0.0936840889275538,364.5832862139897,1464.6713786010291
Aggressive tariffs / restrictions,0.2,2,-0.0695195207336526,373.5005913940587,572.9408605941312
Mild tariffs / tighter language,0.3,1,-0.1367454701698404,349.21704645843124,2923.0
Aggressive + retaliation,0.05,3,-0.3639876022331457,278.2309450631902,2923.0
Mild tariffs / tighter language,0.3,1,0.0914047612286437,438.71231086074846,-577.0
No new measures,0.45,0,0.1745863780263035,476.7658484991485,-577.0
Mild tariffs / tighter language,0.3,1,0.1584710733247892,469.1441991267068,-577.0
No new measures,0.45,0,-0.0956848489365732,363.85457178940464,1537.5428210595355
