scenario,p,severity,log_return,S_T
Mild tariffs / tighter language,0.3,1,-0.13403480459445546,350.1649412170449
No new measures,0.45,0,0.13834128747390032,459.7948428360023
No new measures,0.45,0,0.09867593196447774,441.91388848009177
Aggressive tariffs / restrictions,0.2,2,0.24503726548837465,511.56587970639794
Mild tariffs / tighter language,0.3,1,-0.009648651180054556,396.545368711762
No new measures,0.45,0,0.09476350918544157,440.1883123093117
Mild tariffs / tighter language,0.3,1,0.03830313207436768,416.0237045644808
No new measures,0.45,0,-0.1060492399671709,360.1029161259615
No new measures,0.45,0,0.2019045784744285,489.9697660018881
Aggressive tariffs / restrictions,0.2,2,0.20485765327453234,491.41882190285446
No new measures,0.45,0,-0.2057581516951101,325.9294532889565
Mild tariffs / tighter language,0.3,1,-0.17248279196662142,336.95733390801996
Mild tariffs / tighter language,0.3,1,-0.11233202158378304,357.8475605166816
Aggressive tariffs / restrictions,0.2,2,-0.07679117082848391,370.7944766671686
No new measures,0.45,0,0.10530527116817529,444.85321768599056
Mild tariffs / tighter language,0.3,1,-0.2693156004725789,305.8587849114971
No new measures,0.45,0,0.03329352366337167,413.944800310749
No new measures,0.45,0,0.09663894052346539,441.0146298735794
No new measures,0.45,0,-0.009252322083550134,396.70256232761085
Mild tariffs / tighter language,0.3,1,0.08309594451452423,435.08223239185577
No new measures,0.45,0,0.02676020922954324,411.2491840148423
Aggressive tariffs / restrictions,0.2,2,0.08672884999093743,436.665719604714
No new measures,0.45,0,0.10061191096618363,442.77025317331106
Aggressive tariffs / restrictions,0.2,2,-0.5349645491458004,234.50444889588442
No new measures,0.45,0,0.01654453463340852,407.06938227055053
No new measures,0.45,0,0.042540899793889184,417.7904572900302
Mild tariffs / tighter language,0.3,1,-0.12072831034752582,354.8555475451031
No new measures,0.45,0,0.04644341397241667,419.4240760100849
Mild tariffs / tighter language,0.3,1,0.18410820472249287,481.3272120769419
Aggressive tariffs / restrictions,0.2,2,-0.4981270935001073,243.30407905602493
Mild tariffs / tighter language,0.3,1,0.06280512366349758,426.3430194989733
Aggressive tariffs / restrictions,0.2,2,0.21013193585031445,494.017550823665
No new measures,0.45,0,0.2800150437037532,529.7759346758403
Mild tariffs / tighter language,0.3,1,-0.028857680300613902,389.0008109765977
Mild tariffs / tighter language,0.3,1,-0.11254579076720161,357.7710719116262
Mild tariffs / tighter language,0.3,1,0.05760339662143969,424.131057484164
Mild tariffs / tighter language,0.3,1,-0.038179114708723684,385.3916130167065
Mild tariffs / tighter language,0.3,1,0.08090289169124287,434.12911956913075
Aggressive tariffs / restrictions,0.2,2,-0.060293615697692676,376.96241706349724
No new measures,0.45,0,-0.1749763532595403,336.11815684736285
No new measures,0.45,0,0.17230284531507323,475.67838019577704
No new measures,0.45,0,0.07106883060800835,429.8807906896238
No new measures,0.45,0,0.05617144361656364,423.5241563725771
Mild tariffs / tighter language,0.3,1,0.1732192738812281,476.1145052599013
No new measures,0.45,0,-0.13588052871926903,349.5192294236062
No new measures,0.45,0,0.15506253680138368,467.5478261825531
Aggressive tariffs / restrictions,0.2,2,0.24926169891862712,513.7315268057606
Aggressive tariffs / restrictions,0.2,2,0.21138283137963687,494.6359018350251
Mild tariffs / tighter language,0.3,1,-0.11387916988891583,357.29434533325013
Mild tariffs / tighter language,0.3,1,-0.06500839431298287,375.18930591857224
No new measures,0.45,0,-0.11927532920842092,355.37152072166487
Mild tariffs / tighter language,0.3,1,0.1919018401517732,485.09315702888745
No new measures,0.45,0,0.1934549641984211,485.8471522484215
No new measures,0.45,0,-0.04851697569994031,381.42801097718234
Aggressive tariffs / restrictions,0.2,2,-0.3676796283236302,277.205603114158
No new measures,0.45,0,0.19344975886751342,485.8446232598056
No new measures,0.45,0,-0.06841549840219821,373.91317209501614
Mild tariffs / tighter language,0.3,1,0.20858759017652398,493.255205769933
No new measures,0.45,0,-0.09533352070162752,363.98242663208134
No new measures,0.45,0,0.004905176265003736,402.35882297338566
No new measures,0.45,0,-0.07259785378554283,372.35260003508483
No new measures,0.45,0,-0.011911107952138825,395.6492160924248
Mild tariffs / tighter language,0.3,1,-0.1447700456801766,346.4259415929781
No new measures,0.45,0,0.21879677182236978,498.31673081530823
No new measures,0.45,0,-0.0500046278421756,380.8610006411854
Aggressive tariffs / restrictions,0.2,2,0.11368500261245557,448.5966306749415
Aggressive tariffs / restrictions,0.2,2,-0.2025740232759684,326.9689085250634
Mild tariffs / tighter language,0.3,1,-0.12585621965754804,353.04053805836236
Aggressive tariffs / restrictions,0.2,2,-0.09684755428143216,363.43176198327694
Mild tariffs / tighter language,0.3,1,-0.12744931504076423,352.47855856941453
No new measures,0.45,0,0.03729570900799706,415.6048037289562
Mild tariffs / tighter language,0.3,1,0.03567242461924516,414.93070621318316
No new measures,0.45,0,0.20740218766068685,492.6708462271272
Mild tariffs / tighter language,0.3,1,-0.2086995984159564,324.97215777444717
Aggressive + retaliation,0.05,3,-0.4715906143636307,249.84694098919286
No new measures,0.45,0,0.04499913259256867,418.8187468648739
No new measures,0.45,0,0.15148671160873853,465.87894248337886
No new measures,0.45,0,0.08315210284843248,435.10666657122493
Aggressive tariffs / restrictions,0.2,2,-0.3106168112082661,293.4837576350233
No new measures,0.45,0,0.1362604502580369,458.83907935434024
Aggressive tariffs / restrictions,0.2,2,0.1886497351922256,483.5181456064347
No new measures,0.45,0,0.008302110762373905,403.72793361251314
Aggressive tariffs / restrictions,0.2,2,0.07743960922318043,432.6282083404249
No new measures,0.45,0,0.08616983877661315,436.42168678544016
No new measures,0.45,0,0.233319690061392,505.606550554765
No new measures,0.45,0,-0.023362837445105783,391.144192683431
No new measures,0.45,0,0.06652897026081221,427.9336152306049
No new measures,0.45,0,-0.0651202326243155,375.14734772647864
No new measures,0.45,0,0.14072150007208722,460.89055581111023
Mild tariffs / tighter language,0.3,1,0.0050333497199740625,402.4103979990679
Mild tariffs / tighter language,0.3,1,-0.006013642748159037,397.98943748166164
No new measures,0.45,0,-0.18416045943231357,333.0453441261408
Mild tariffs / tighter language,0.3,1,-0.09213863601540342,365.1471681296323
Aggressive tariffs / restrictions,0.2,2,-0.162511597812884,340.33400766372665
Aggressive + retaliation,0.05,3,-0.6204743224006966,215.28544231926517
No new measures,0.45,0,-0.019294459108873716,392.7387566887195
No new measures,0.45,0,0.13699925060941004,459.17819508137524
Aggressive + retaliation,0.05,3,-0.03656371504263577,386.0146776133661
Aggressive tariffs / restrictions,0.2,2,-0.20135730183101708,327.3669807302834
Aggressive tariffs / restrictions,0.2,2,0.14013318351513446,460.6194860114275
Mild tariffs / tighter language,0.3,1,0.013494755089174972,405.82980158012884
Mild tariffs / tighter language,0.3,1,0.013249658438642196,405.73034624365795
Aggressive tariffs / restrictions,0.2,2,-0.20326706689951904,326.74238331290456
Mild tariffs / tighter language,0.3,1,-0.05356960370217375,379.5056576857707
No new measures,0.45,0,-0.002079692117685902,399.55819195833
Aggressive + retaliation,0.05,3,-0.002769559391097638,399.2826448942534
Aggressive tariffs / restrictions,0.2,2,-0.1638878367330486,339.86594891073725
No new measures,0.45,0,-0.1987010250372556,328.23771398653497
No new measures,0.45,0,-0.07628775839575196,370.98118620872043
Aggressive tariffs / restrictions,0.2,2,-0.19134237233446175,330.66201016495364
No new measures,0.45,0,-0.06595647120657319,374.8337661730488
Mild tariffs / tighter language,0.3,1,0.25216727862768384,515.2263853696238
No new measures,0.45,0,0.20495825274849996,491.4682608645608
No new measures,0.45,0,0.11094936928952848,447.3711118328888
Mild tariffs / tighter language,0.3,1,-0.06113388197599667,376.6458012956561
Aggressive + retaliation,0.05,3,0.452748337650492,629.6646942431564
Mild tariffs / tighter language,0.3,1,0.006312684162765518,402.92554493371216
No new measures,0.45,0,0.12320047191575137,452.8856116151324
No new measures,0.45,0,-0.1317398076431224,350.9694915567589
No new measures,0.45,0,0.016450943462535377,407.0312859532046
Aggressive tariffs / restrictions,0.2,2,-0.19355817300227576,329.9301402004304
No new measures,0.45,0,0.20268196850323317,490.35081170376833
Aggressive tariffs / restrictions,0.2,2,0.11941117363024739,451.17274028327193
Aggressive tariffs / restrictions,0.2,2,0.01994490013128715,408.45592298989004
Mild tariffs / tighter language,0.3,1,-0.09033129468969871,365.8077104294508
No new measures,0.45,0,0.12344983647258094,452.9985593169588
Aggressive + retaliation,0.05,3,-0.28177912462614396,302.0703641358943
No new measures,0.45,0,-0.0450302290305386,382.7602751080952
Aggressive tariffs / restrictions,0.2,2,-0.1538649660827554,343.289509648053
No new measures,0.45,0,0.11020217715142451,447.036964506986
No new measures,0.45,0,-0.13821496071441858,348.70425217610705
No new measures,0.45,0,-0.08697573212710591,367.03726285400865
No new measures,0.45,0,-0.21009396457964863,324.51934336141807
Mild tariffs / tighter language,0.3,1,0.14550798976346738,463.10189175180034
Mild tariffs / tighter language,0.3,1,-0.1701068087056043,337.75889075880696
No new measures,0.45,0,0.0024107100717118343,401.3564032627304
Mild tariffs / tighter language,0.3,1,0.02228397978792528,409.4124521928679
No new measures,0.45,0,0.09189148656386484,438.9258952315635
Aggressive tariffs / restrictions,0.2,2,-0.261714758535735,308.19242677700873
Aggressive tariffs / restrictions,0.2,2,-0.03404975891294701,386.9863224027582
Mild tariffs / tighter language,0.3,1,-0.13605160179748316,349.4594412073565
Aggressive + retaliation,0.05,3,-0.32936822009515204,288.0317993914863
No new measures,0.45,0,-0.09977433623241774,362.36963153219494
No new measures,0.45,0,0.004848269525436314,402.3359266961164
No new measures,0.45,0,-0.08486215025467793,367.81384655680273
Aggressive tariffs / restrictions,0.2,2,-0.08928561820142654,366.1904270154703
No new measures,0.45,0,-0.05509422739957196,378.927495218859
Aggressive tariffs / restrictions,0.2,2,0.1411104640575066,461.0698605078147
Mild tariffs / tighter language,0.3,1,-0.25723376908621537,309.57653255552873
No new measures,0.45,0,-0.1096973246467691,358.7916235021097
Mild tariffs / tighter language,0.3,1,-0.10039413725449511,362.14510405256993
Mild tariffs / tighter language,0.3,1,-0.09525522557089511,364.01092579941724
Mild tariffs / tighter language,0.3,1,0.08060663177745765,434.00052356345685
Aggressive tariffs / restrictions,0.2,2,-0.18979659329566628,331.17353582015573
Mild tariffs / tighter language,0.3,1,-0.12688744232041738,352.67666230531256
