scenario,p,severity,log_return,S_T
Mild tariffs / tighter language,0.3,1,0.38456963986345805,588.1657221340304
No new measures,0.45,0,-0.06501653127821194,375.18625302865627
No new measures,0.45,0,0.21694263931936067,497.39364159722174
Mild tariffs / tighter language,0.3,1,-0.08586529417255084,367.44506133697064
Aggressive + retaliation,0.05,3,-0.04875751973040532,381.3362717801901
No new measures,0.45,0,0.16810262833377193,473.6846178340377
Aggressive tariffs / restrictions,0.2,2,-0.2543068458384748,310.48396665277477
No new measures,0.45,0,0.07595560492215897,431.9866623647362
No new measures,0.45,0,0.16273699782179663,471.14980770424836
No new measures,0.45,0,-0.0010419618429954314,399.97304080400033
No new measures,0.45,0,0.11842181240072988,450.7265882053971
No new measures,0.45,0,0.04414775988185835,418.4623277573389
No new measures,0.45,0,0.1080880080460096,446.09285112697637
Mild tariffs / tighter language,0.3,1,0.07544326023313176,431.7653929804802
No new measures,0.45,0,0.06594049067840517,427.68185911934717
No new measures,0.45,0,0.04669205318342832,419.5283742472017
No new measures,0.45,0,-0.14180659313682292,347.45408109956236
Aggressive tariffs / restrictions,0.2,2,-0.08925350718140247,366.20218595239953
No new measures,0.45,0,-0.016663503079792523,393.77339553633254
Mild tariffs / tighter language,0.3,1,0.036747750733589137,415.37713202086417
Mild tariffs / tighter language,0.3,1,-0.1113106560794217,358.2132403854256
No new measures,0.45,0,0.2477627975797465,512.9620707458272
No new measures,0.45,0,0.040364383047856,416.88211822957754
Mild tariffs / tighter language,0.3,1,0.13540442432512623,458.4464692695619
Aggressive tariffs / restrictions,0.2,2,-0.028179699677594705,389.2646354126005
Aggressive tariffs / restrictions,0.2,2,0.036548015677815515,415.2941749312281
No new measures,0.45,0,-0.023881287301395528,390.9414565917356
No new measures,0.45,0,0.058127913417387024,424.35357970071567
No new measures,0.45,0,-0.11074390929542269,358.4163141276594
No new measures,0.45,0,0.002170291231087501,401.259921220096
Aggressive + retaliation,0.05,3,-0.17176194260533997,337.20031695351156
No new measures,0.45,0,0.07316529494113408,430.7829657933303
No new measures,0.45,0,0.10618505850964463,445.2447661301493
No new measures,0.45,0,0.09037619231285834,438.26129700400423
Aggressive tariffs / restrictions,0.2,2,-0.26193415329417025,308.1248183907184
Mild tariffs / tighter language,0.3,1,-0.022520004821411532,391.47400073656274
No new measures,0.45,0,0.21582510184508927,496.8380960425785
No new measures,0.45,0,-0.019184991506787104,392.78175121187144
No new measures,0.45,0,-0.10831672634447082,359.2873127034964
No new measures,0.45,0,0.014528551176789743,406.2495637781143
Aggressive tariffs / restrictions,0.2,2,0.07510322715814848,431.61860342430015
Mild tariffs / tighter language,0.3,1,-0.05403085605703592,379.33065017189637
Mild tariffs / tighter language,0.3,1,0.21104324729650717,494.46795987263994
Mild tariffs / tighter language,0.3,1,-0.00932869190093552,396.672267382194
Mild tariffs / tighter language,0.3,1,0.1852319553632405,481.8684078675284
Aggressive tariffs / restrictions,0.2,2,0.08114017108818085,434.2321416868449
No new measures,0.45,0,-0.00760117970774464,397.3581157959815
Mild tariffs / tighter language,0.3,1,0.10435655129680162,444.43137673461445
Mild tariffs / tighter language,0.3,1,0.04693562216970228,419.6305707934796
No new measures,0.45,0,0.07306936114290283,430.74164112945607
No new measures,0.45,0,0.022028042360711216,409.3076816311102
Aggressive tariffs / restrictions,0.2,2,0.17569334568985553,477.2939050933878
Aggressive tariffs / restrictions,0.2,2,-0.2692449294625826,305.88040102455034
No new measures,0.45,0,0.06841640585631859,428.742075086454
No new measures,0.45,0,0.06405176128501072,426.8748461754455
Mild tariffs / tighter language,0.3,1,0.11675259611530003,449.9748556207697
Aggressive tariffs / restrictions,0.2,2,-0.050453919900388396,380.68992125349735
Mild tariffs / tighter language,0.3,1,0.13605709147999454,458.745779886799
Aggressive tariffs / restrictions,0.2,2,0.0013872066116121175,400.9458237458781
Aggressive tariffs / restrictions,0.2,2,0.03697164437309031,415.4701427305825
No new measures,0.45,0,0.14809599341659793,464.3019533515171
No new measures,0.45,0,0.05146135057375072,421.53400875967645
No new measures,0.45,0,0.07489966694695113,431.5307519920618
Aggressive tariffs / restrictions,0.2,2,0.01640864653576309,407.014070144799
Mild tariffs / tighter language,0.3,1,0.012085274124579638,405.25819512877354
Aggressive tariffs / restrictions,0.2,2,-0.09131232199849136,365.4490190475406
Mild tariffs / tighter language,0.3,1,-0.012794154727925895,395.29999354042883
Mild tariffs / tighter language,0.3,1,0.1452848391244352,462.9985617982203
No new measures,0.45,0,0.24432183927069603,511.2000229513483
No new measures,0.45,0,-0.12311690495473496,354.00895298601
Aggressive tariffs / restrictions,0.2,2,0.021570924291580133,409.1206224513253
Mild tariffs / tighter language,0.3,1,0.39299415378196334,593.1416629583844
Aggressive + retaliation,0.05,3,-0.5600001938864287,228.7063610986834
No new measures,0.45,0,0.07246774273778155,430.48257696699847
Mild tariffs / tighter language,0.3,1,-0.17440478042524382,336.31032776953816
Mild tariffs / tighter language,0.3,1,-0.10911278519007891,359.00141267182676
No new measures,0.45,0,0.04037323080687008,416.8858067184143
Mild tariffs / tighter language,0.3,1,-0.08954016019660402,366.0972280355932
Aggressive tariffs / restrictions,0.2,2,0.496553604728977,657.8603754333265
Mild tariffs / tighter language,0.3,1,-0.007166008412208151,397.53107227214184
Mild tariffs / tighter language,0.3,1,-0.09103185614184844,365.55152939438125
Mild tariffs / tighter language,0.3,1,0.11361953193176663,448.56726170958996
Aggressive tariffs / restrictions,0.2,2,0.10217358486067293,443.46225611977695
Aggressive tariffs / restrictions,0.2,2,-0.26147100487667896,308.26755896522997
Mild tariffs / tighter language,0.3,1,-0.15204431852209516,343.9150881625888
No new measures,0.45,0,0.0579255609590167,424.26771939795964
Mild tariffs / tighter language,0.3,1,-0.020441819760202568,392.2884021020143
Aggressive + retaliation,0.05,3,0.120625579998102,451.7209801576937
Aggressive tariffs / restrictions,0.2,2,0.26596414393404494,522.3841582833481
Mild tariffs / tighter language,0.3,1,-0.029212391701324197,388.86285242324107
No new measures,0.45,0,0.11511347854618612,449.2378980742922
Aggressive tariffs / restrictions,0.2,2,0.2894615599669401,534.80418398608
No new measures,0.45,0,-0.036863058961525204,385.89914376006135
No new measures,0.45,0,-0.008573608626626261,396.9719010866396
No new measures,0.45,0,0.131637084966776,456.7225950905971
Mild tariffs / tighter language,0.3,1,0.16294030512397123,471.24560563845256
No new measures,0.45,0,0.03599327401539947,415.06385783938475
No new measures,0.45,0,-0.05041744872340485,380.703805716181
Aggressive tariffs / restrictions,0.2,2,0.14697744079552885,463.78289753436917
Mild tariffs / tighter language,0.3,1,0.028389531482817143,411.9197876283399
No new measures,0.45,0,0.13724170794519847,459.28953970082125
No new measures,0.45,0,0.1207056481738108,451.7571500805149
Mild tariffs / tighter language,0.3,1,-0.13799693980442473,348.78028528258756
No new measures,0.45,0,0.06949659712770212,429.2054487546773
No new measures,0.45,0,0.09647172471884483,440.9408914226847
Aggressive + retaliation,0.05,3,-0.23054907897321641,317.94869386503615
Mild tariffs / tighter language,0.3,1,0.07292014379530504,430.6773717994355
No new measures,0.45,0,0.11288276569851696,448.2368942145728
Mild tariffs / tighter language,0.3,1,-0.08478401287864926,367.8425876885034
Mild tariffs / tighter language,0.3,1,-0.11911044880105146,355.43011935351933
Mild tariffs / tighter language,0.3,1,0.17767022350832284,478.2383900853809
Mild tariffs / tighter language,0.3,1,-0.020920098757821963,392.10082365926974
Mild tariffs / tighter language,0.3,1,0.09794851318128318,441.5925489054475
No new measures,0.45,0,0.04228777975098777,417.6847195342943
No new measures,0.45,0,0.08520525573016988,436.00092478783523
No new measures,0.45,0,-0.07619753801914914,371.01465778093893
Aggressive tariffs / restrictions,0.2,2,0.22726714678672247,502.5555873847772
Aggressive tariffs / restrictions,0.2,2,0.40651518985693036,601.2160165827921
Aggressive tariffs / restrictions,0.2,2,0.05380799207777013,422.52435950460256
